CustomerKey,Prefix,FirstName,LastName,BirthDate,MaritalStatus,Gender,AnnualIncome
11026,MR.,HAROLD,SAI,4/3/1946,S,M,"$30,000 "
11027,MR.,JESSIE,ZHAO,12/7/1946,M,M,"$30,000 "
11028,MRS.,JILL,JIMENEZ,4/11/1946,M,F,"$30,000 "
11029,MR.,JIMMY,MORENO,12/21/1946,M,M,"$30,000 "
11030,MRS.,BETHANY,YUAN,2/22/1947,M,F,"$10,000 "
11031,MRS.,THERESA,RAMOS,8/22/1947,M,F,"$20,000 "
11032,MRS.,DENISE,STONE,6/11/1947,M,F,"$20,000 "
11033,MR.,JAIME,NATH,9/23/1947,M,M,"$20,000 "
11034,MRS.,EBONY,GONZALEZ,6/19/1947,M,F,"$20,000 "
11035,,WENDY,DOMINGUEZ,2/24/1948,M,NA,"$10,000 "
11036,MS.,JENNIFER,RUSSELL,12/18/1978,M,F,"$60,000 "
11037,MS.,CHLOE,GARCIA,11/27/1977,S,F,"$40,000 "
11038,MRS.,DIANA,HERNANDEZ,3/23/1948,M,F,"$10,000 "
11039,MR.,MARC,MARTIN,12/17/1948,M,M,"$30,000 "
11040,MR.,JESSE,MURPHY,8/1/1977,M,M,"$30,000 "
11041,MS.,AMANDA,CARTER,10/16/1977,M,F,"$60,000 "
11042,MS.,MEGAN,SANCHEZ,6/13/1977,M,F,"$70,000 "
11043,MR.,NATHAN,SIMMONS,2/24/1976,M,M,"$60,000 "
11044,MR.,ADAM,FLORES,5/24/1949,M,M,"$20,000 "
11045,MR.,LEONARD,NARA,5/19/1950,S,M,"$30,000 "
11046,MRS.,CHRISTINE,YUAN,3/22/1950,M,F,"$30,000 "
11047,MRS.,JACLYN,LU,2/27/1950,M,F,"$30,000 "
11048,MR.,JEREMY,POWELL,11/22/1950,M,M,"$30,000 "
11049,MS.,CAROL,RAI,7/18/1980,S,F,"$40,000 "
11050,MR.,ALAN,ZHENG,9/7/1951,M,M,"$30,000 "
11051,MR.,DANIEL,JOHNSON,8/4/1951,S,M,"$30,000 "
11052,MRS.,HEIDI,LOPEZ,8/7/1951,S,F,"$40,000 "
11053,MS.,ANA,PRICE,8/20/1980,M,F,"$60,000 "
11054,MRS.,DEANNA,MUNOZ,3/10/1952,M,F,"$40,000 "
11055,MR.,GILBERT,RAJE,3/5/1952,M,M,"$40,000 "
11056,MRS.,MICHELE,NATH,4/3/1953,M,F,"$40,000 "
11057,MR.,CARL,ANDERSEN,10/12/1953,M,M,"$70,000 "
11058,MR.,MARC,DIAZ,4/27/1954,M,M,"$80,000 "
11059,MRS.,ASHLEE,ANDERSEN,4/1/1954,S,F,"$80,000 "
11060,MR.,JON,ZHOU,3/17/1954,M,M,"$80,000 "
11061,MR.,TODD,GAO,2/27/1954,M,M,"$80,000 "
11062,MR.,NOAH,POWELL,9/2/1975,M,M,"$40,000 "
11063,MS.,ANGELA,MURPHY,4/7/1975,S,F,"$40,000 "
11064,MR.,CHASE,REED,12/7/1975,M,M,"$40,000 "
11065,MS.,JESSICA,HENDERSON,10/9/1973,M,F,"$60,000 "
11066,MS.,GRACE,BUTLER,11/27/1973,M,F,"$70,000 "
11067,MR.,CALEB,CARTER,9/25/1976,S,M,"$60,000 "
11068,MRS.,TIFFANY,LIANG,9/23/1955,S,F,"$80,000 "
11069,MRS.,CAROLYN,NAVARRO,9/21/1955,S,F,"$80,000 "
11070,MR.,WILLIE,RAJI,4/5/1955,M,M,"$80,000 "
11071,MRS.,LINDA,SERRANO,6/26/1955,S,F,"$80,000 "
11072,MRS.,CASEY,LUO,2/6/1955,S,F,"$80,000 "
11073,MRS.,AMY,YE,8/14/1956,S,F,"$70,000 "
11074,MR.,LEVI,ARUN,8/28/1956,S,M,"$70,000 "
11075,MRS.,FELICIA,JIMENEZ,11/16/1957,S,F,"$80,000 "
11076,MR.,BLAKE,ANDERSON,7/13/1957,S,M,"$80,000 "
11077,MRS.,LEAH,YE,9/19/1957,S,F,"$80,000 "
11078,MS.,GINA,MARTIN,1/10/1974,S,F,"$40,000 "
11079,MR.,DONALD,GONZALEZ,3/11/1959,S,M,"$160,000 "
11080,MR.,DAMIEN,CHANDER,7/17/1959,M,M,"$170,000 "
11081,MRS.,SAVANNAH,BAKER,7/24/1966,M,F,"$120,000 "
11082,,ANGELA,BUTLER,8/4/1966,S,NA,"$130,000 "
11083,MS.,ALYSSA,COX,3/15/1966,M,F,"$130,000 "
11084,MR.,LUCAS,PHILLIPS,9/12/1957,S,M,"$80,000 "
11085,MRS.,EMILY,JOHNSON,7/19/1957,S,F,"$60,000 "
11086,MR.,RYAN,BROWN,12/23/1957,M,M,"$70,000 "
11087,MRS.,TAMARA,LIANG,10/3/1957,M,F,"$70,000 "
11089,MRS.,ABIGAIL,PRICE,2/5/1957,S,F,"$80,000 "
11090,MR.,TREVOR,BRYANT,12/17/1957,S,M,"$90,000 "
11091,MR.,DALTON,PEREZ,4/4/1957,M,M,"$90,000 "
11092,MRS.,CHERYL,DIAZ,5/6/1967,M,F,"$90,000 "
11093,MS.,AIMEE,HE,9/10/1967,M,F,"$100,000 "
11094,MR.,CEDRIC,MA,4/1/1962,S,M,"$70,000 "
11095,MR.,CHAD,KUMAR,9/1/1962,S,M,"$70,000 "
11096,MR.,ANDRÉS,ANAND,8/10/1962,M,M,"$60,000 "
11097,MR.,EDWIN,NARA,10/27/1961,M,M,"$60,000 "
11098,MRS.,MALLORY,RUBIO,5/1/1961,S,F,"$60,000 "
11099,MR.,ADAM,ROSS,3/8/1961,M,M,"$60,000 "
11100,MRS.,LATASHA,NAVARRO,9/15/1960,S,F,"$60,000 "
11101,MS.,ABBY,SAI,5/8/1965,S,F,"$70,000 "
11102,MRS.,JULIA,NELSON,4/21/1965,S,F,"$80,000 "
11103,MS.,CASSIE,CHANDE,10/17/1964,S,F,"$70,000 "
11104,MR.,EDGAR,SARA,3/11/1964,M,M,"$70,000 "
11105,MS.,CANDACE,FERNANDEZ,12/28/1964,S,F,"$70,000 "
11106,MR.,JESSIE,LIU,9/11/1964,S,M,"$70,000 "
11107,MRS.,BIANCA,LIN,9/9/1959,M,F,"$90,000 "
11108,MS.,KARI,ALVAREZ,7/14/1963,S,F,"$70,000 "
11109,MR.,RUBEN,KAPOOR,11/5/1963,S,M,"$70,000 "
11110,MR.,CURTIS,YANG,6/6/1962,M,M,"$60,000 "
11111,MRS.,MEREDITH,GUTIERREZ,2/23/1962,M,F,"$60,000 "
11112,MRS.,CRYSTAL,WANG,9/9/1962,M,F,"$60,000 "
11113,MR.,MICHEAL,BLANCO,2/21/1962,M,M,"$70,000 "
11114,MRS.,LESLIE,MORENO,5/28/1962,S,F,"$70,000 "
11115,MR.,ALVIN,CAI,2/12/1962,M,M,"$70,000 "
11116,MR.,CLINTON,CARLSON,10/7/1962,M,M,"$70,000 "
11117,MRS.,APRIL,DENG,2/21/1961,M,F,"$70,000 "
11118,MR.,ALVIN,ZENG,7/3/1957,S,M,"$80,000 "
11119,MR.,EVAN,JAMES,4/10/1935,S,M,"$30,000 "
11121,MR.,ORLANDO,SUAREZ,11/18/1960,M,M,"$70,000 "
11122,MR.,BYRON,VAZQUEZ,4/2/1960,M,M,"$70,000 "
11123,MR.,PHILIP,ALVAREZ,6/20/1960,M,M,"$70,000 "
11124,MR.,ROSS,JORDAN,7/27/1957,S,M,"$80,000 "
11125,MRS.,DANA,NAVARRO,4/8/1956,S,F,"$70,000 "
11126,MR.,SHAUN,CARSON,4/7/1949,M,M,"$10,000 "
11127,MS.,JAN,EDWARDS,10/21/1975,M,F,"$40,000 "
11128,MS.,SAMANTHA,LONG,12/5/1975,M,F,"$40,000 "
11129,MS.,JULIA,WRIGHT,8/5/1975,S,F,"$40,000 "
11130,MS.,CAROLINE,RUSSELL,1/6/1980,M,F,"$30,000 "
11131,MS.,AMANDA,RIVERA,3/12/1980,M,F,"$30,000 "
11132,MS.,MELISSA,RICHARDSON,10/26/1980,S,F,"$30,000 "
11133,MS.,ANGELA,GRIFFIN,9/8/1980,S,F,"$30,000 "
11134,MR.,LARRY,TOWNSEND,2/26/1946,S,M,"$10,000 "
11135,MR.,MARCUS,HARRIS,11/3/1979,S,M,"$30,000 "
11136,MS.,BRIANNA,MORGAN,10/26/1978,S,F,"$40,000 "
11137,MS.,JASMINE,TAYLOR,7/20/1978,M,F,"$40,000 "
11138,MS.,LAUREN,DAVIS,9/15/1978,M,F,"$40,000 "
11139,MRS.,TANYA,MORENO,11/9/1938,S,F,"$30,000 "
11140,MR.,JAVIER,ALVAREZ,2/11/1977,S,M,"$30,000 "
11141,MS.,NICOLE,RAMIREZ,6/21/1977,M,F,"$40,000 "
11142,MR.,EDUARDO,PATTERSON,8/14/1977,S,M,"$40,000 "
11143,MR.,JONATHAN,HENDERSON,2/4/1977,M,M,"$40,000 "
11144,MR.,EDWARD,HERNANDEZ,9/9/1979,S,M,"$40,000 "
11145,MS.,JASMINE,COLEMAN,12/8/1979,S,F,"$40,000 "
11146,MRS.,KARLA,GOEL,8/26/1939,S,F,"$40,000 "
11147,MR.,ERNEST,WU,2/5/1939,M,M,"$60,000 "
11148,MR.,ROSS,VAZQUEZ,8/16/1941,M,M,"$40,000 "
11149,MR.,THEODORE,GILL,4/20/1941,M,M,"$40,000 "
11150,MR.,RUSSELL,SHEN,3/15/1941,S,M,"$40,000 "
11151,MRS.,MELINDA,GILL,2/25/1942,S,F,"$60,000 "
11152,MR.,JAMES,WILLIAMS,1/10/1976,S,M,"$40,000 "
11153,MS.,ANGELA,JAMES,6/23/1976,M,F,"$40,000 "
11154,MS.,MEGAN,WALKER,8/21/1976,S,F,"$40,000 "
11155,MR.,HUNTER,ROBINSON,1/26/1976,S,M,"$40,000 "
11156,MS.,MARIA,ROBERTS,2/7/1976,S,F,"$40,000 "
11157,MS.,HANNAH,LONG,6/11/1975,M,F,"$40,000 "
11158,MR.,JASON,WRIGHT,10/8/1975,S,M,"$40,000 "
11159,MS.,BRIANNA,HUGHES,9/17/1975,S,F,"$40,000 "
11160,MR.,MAURICE,TANG,1/8/1974,S,M,"$40,000 "
11161,MS.,EMILY,WOOD,4/22/1974,S,F,"$40,000 "
11162,MR.,CHASE,COX,3/5/1974,S,M,"$40,000 "
11163,MR.,GABRIEL,WANG,12/20/1974,M,M,"$40,000 "
11164,MR.,DEVIN,BROOKS,5/5/1974,S,M,"$40,000 "
11165,MS.,JOCELYN,ALEXANDER,7/18/1973,M,F,"$60,000 "
11166,MS.,ASHLEY,MARTINEZ,4/24/1972,S,F,"$70,000 "
11167,MS.,JASMINE,BARNES,8/1/1972,S,F,"$80,000 "
11168,MR.,DAVID,RODRIGUEZ,5/15/1968,S,M,"$80,000 "
11169,MR.,BRYCE,RICHARDSON,6/22/1968,M,M,"$90,000 "
11170,MRS.,CAROL,HOWARD,2/5/1968,M,F,"$90,000 "
11171,MR.,JONATHAN,HILL,10/9/1967,S,M,"$100,000 "
11172,MRS.,GABRIELLE,ADAMS,11/21/1967,M,F,"$100,000 "
11173,MS.,SARAH,THOMAS,9/1/1967,S,F,"$110,000 "
11174,MR.,NICHOLAS,ROBINSON,7/13/1967,M,M,"$110,000 "
11175,MR.,LUIS,WANG,3/5/1963,S,M,"$70,000 "
11176,MR.,MASON,ROBERTS,1/25/1968,M,M,"$90,000 "
11177,MR.,JOSE,FLORES,7/4/1942,M,M,"$110,000 "
11178,MR.,NATHAN,JOHNSON,8/24/1943,M,M,"$100,000 "
11179,MRS.,MOLLY,RODRIGUEZ,6/14/1943,M,F,"$120,000 "
11180,MRS.,APRIL,ANAND,1/2/1943,M,F,"$160,000 "
11181,MR.,DEVIN,MARTIN,8/8/1943,M,M,"$170,000 "
11182,MRS.,STEPHANIE,TORRES,8/25/1944,S,F,"$70,000 "
11183,MRS.,JASMINE,LEE,7/15/1944,S,F,"$70,000 "
11184,MRS.,MEGHAN,HERNANDEZ,11/16/1944,S,F,"$70,000 "
11185,MRS.,ASHLEY,HENDERSON,10/8/1944,S,F,"$70,000 "
11186,MRS.,SARAH,PRICE,5/21/1944,S,F,"$70,000 "
11187,MRS.,JENNIFER,COOPER,2/22/1944,M,F,"$60,000 "
11188,MRS.,CATHERINE,MORRIS,9/6/1944,M,F,"$60,000 "
11190,MR.,CARSON,BRYANT,6/22/1944,M,M,"$70,000 "
11191,MRS.,KRISTI,PEREZ,12/18/1945,S,F,"$70,000 "
11192,MR.,JAMES,BROWN,9/13/1945,M,M,"$60,000 "
11193,MR.,IAN,GRAY,2/13/1945,M,M,"$60,000 "
11194,MRS.,JACQUELINE,PRICE,6/10/1945,M,F,"$60,000 "
11195,MRS.,MEGAN,HENDERSON,2/10/1946,M,F,"$60,000 "
11196,MR.,ALFREDO,ROMERO,6/7/1946,M,M,"$60,000 "
11197,MRS.,ANDREA,MORRIS,6/18/1946,M,F,"$70,000 "
11198,MRS.,BROOKE,SANDERS,11/26/1946,S,F,"$70,000 "
11199,MRS.,JACQUELINE,BENNETT,11/6/1946,M,F,"$70,000 "
11200,MR.,JASON,GRIFFIN,11/22/1947,M,M,"$70,000 "
11201,MRS.,AMANDA,FOSTER,8/18/1947,M,F,"$70,000 "
11202,MRS.,ALEXIA,PRICE,8/26/1947,M,F,"$80,000 "
11203,MR.,LUIS,DIAZ,8/21/1948,M,M,"$40,000 "
11205,MRS.,ABBY,FERNANDEZ,7/24/1948,M,F,"$40,000 "
11206,MR.,BLAKE,FLORES,9/24/1948,M,M,"$60,000 "
11207,MRS.,DANIELLE,COX,7/19/1948,S,F,"$60,000 "
11208,MRS.,MARIA,REED,2/4/1948,M,F,"$60,000 "
11209,MRS.,ALLISON,EVANS,1/13/1948,M,F,"$60,000 "
11210,MR.,EDWARD,WOOD,6/8/1948,M,M,"$70,000 "
11211,MRS.,SAMANTHA,RUSSELL,10/12/1949,M,F,"$40,000 "
11212,MRS.,CHLOE,CAMPBELL,11/5/1949,M,F,"$40,000 "
11213,MRS.,STEPHANIE,MURPHY,5/14/1949,S,F,"$60,000 "
11214,MR.,CHARLES,MILLER,11/7/1949,S,M,"$60,000 "
11215,MRS.,ANA,PERRY,6/21/1950,M,F,"$40,000 "
11216,MRS.,JASMINE,TORRES,5/20/1950,S,F,"$60,000 "
11217,MRS.,NATALIE,ADAMS,2/11/1950,S,F,"$60,000 "
11218,MRS.,OLIVIA,BROWN,9/11/1950,S,F,"$60,000 "
11219,MR.,CHARLES,COOK,12/2/1950,M,M,"$60,000 "
11220,MRS.,ERICA,HUANG,2/23/1950,M,F,"$60,000 "
11221,MR.,NATHAN,PERRY,6/10/1950,M,M,"$70,000 "
11222,MRS.,ALEXANDRA,RIVERA,8/17/1950,M,F,"$80,000 "
11223,MRS.,HAILEY,PATTERSON,9/16/1951,S,F,"$70,000 "
11224,MRS.,TIFFANY,LI,9/6/1951,S,F,"$70,000 "
11226,MRS.,SYDNEY,ROSS,9/27/1951,M,F,"$60,000 "
11227,MR.,MARSHALL,CHAVEZ,8/12/1951,S,M,"$60,000 "
11228,MRS.,ASHLEY,JONES,4/19/1951,M,F,"$60,000 "
11229,MR.,ADRIAN,STEWART,12/3/1951,S,M,"$70,000 "
11230,MRS.,AMBER,TURNER,4/3/1951,M,F,"$70,000 "
11231,MR.,DENNIS,ZHANG,11/14/1952,M,M,"$60,000 "
11232,MRS.,HAILEY,BRYANT,9/27/1952,M,F,"$60,000 "
11233,MR.,TODD,LI,9/9/1952,M,M,"$70,000 "
11234,,ANNA,GRIFFIN,11/19/1952,S,NA,"$70,000 "
11235,MR.,ANGEL,STEWART,2/8/1952,M,M,"$70,000 "
11236,MR.,JEREMY,BUTLER,3/5/1952,S,M,"$70,000 "
11237,MR.,CLARENCE,ANAND,9/23/1958,S,M,"$130,000 "
11238,MRS.,MAYRA,PRASAD,8/10/1958,S,F,"$130,000 "
11239,MRS.,LATOYA,GOEL,10/6/1958,M,F,"$130,000 "
11240,MRS.,ANNE,HERNANDEZ,12/11/1958,M,F,"$160,000 "
11241,MRS.,LISA,CAI,10/11/1957,S,F,"$100,000 "
11242,MR.,LARRY,MUNOZ,11/11/1957,M,M,"$110,000 "
11243,MRS.,ROBIN,ALVAREZ,10/9/1957,M,F,"$150,000 "
11244,MRS.,ALEXIS,COLEMAN,11/26/1957,S,F,"$170,000 "
11245,MR.,RICKY,VAZQUEZ,10/27/1956,M,M,"$120,000 "
11247,MRS.,CLAUDIA,ZHOU,6/6/1956,S,F,"$130,000 "
11248,MR.,TRISTAN,ALEXANDER,3/26/1955,M,M,"$110,000 "
11249,MRS.,CINDY,PATEL,7/13/1955,M,F,"$130,000 "
11250,MRS.,SHANNON,LIU,3/12/1955,M,F,"$170,000 "
11251,MR.,XAVIER,LONG,7/4/1932,S,M,"$30,000 "
11252,MR.,NICHOLAS,THOMPSON,6/7/1932,S,M,"$90,000 "
11253,MR.,JOSÉ,HERNANDEZ,2/28/1933,M,M,"$60,000 "
11254,MR.,JOHNATHAN,VANCE,3/3/1933,M,M,"$70,000 "
11255,MR.,COLIN,LIN,4/4/1933,M,M,"$70,000 "
11256,MRS.,KATELYN,HERNANDEZ,9/20/1933,M,F,"$70,000 "
11257,MRS.,JACQUELINE,POWELL,1/6/1933,S,F,"$120,000 "
11258,MR.,XAVIER,HILL,6/28/1933,M,M,"$120,000 "
11259,MRS.,VICTORIA,STEWART,3/27/1965,M,F,"$100,000 "
11260,MRS.,KATELYN,KELLY,4/12/1965,M,F,"$110,000 "
11261,MRS.,STEPHANIE,COLLINS,4/24/1965,M,F,"$130,000 "
11262,MRS.,JENNIFER,SIMMONS,5/4/1964,M,F,"$80,000 "
11263,MRS.,TRINITY,RICHARDSON,9/11/1964,M,F,"$90,000 "
11264,MR.,EDUARDO,MARTIN,6/17/1964,S,M,"$90,000 "
11265,MRS.,ELIZABETH,JONES,7/13/1964,M,F,"$90,000 "
11266,MS.,TAYLOR,HOWARD,5/5/1964,S,F,"$90,000 "
11267,MR.,DAVID,DIAZ,10/2/1964,S,M,"$120,000 "
11268,MRS.,KATELYN,CARTER,5/3/1964,M,F,"$130,000 "
11269,MR.,RYAN,FOSTER,10/13/1964,M,M,"$130,000 "
11270,MR.,ROBERT,LEE,5/4/1964,M,M,"$130,000 "
11271,MRS.,DANIELLE,REED,6/5/1964,S,F,"$150,000 "
11272,MRS.,LAUREN,MARTINEZ,11/10/1956,S,F,"$70,000 "
11273,MR.,NATHAN,LAL,10/1/1956,M,M,"$90,000 "
11274,MR.,KYLE,FOSTER,4/12/1934,M,M,"$50,000 "
11275,MRS.,JENNY,RAI,1/18/1934,M,F,"$80,000 "
11276,MRS.,NANCY,CHAPMAN,9/19/1963,M,F,"$80,000 "
11277,MR.,CHARLES,JACKSON,6/10/1963,M,M,"$80,000 "
11278,MR.,JONATHAN,PHILLIPS,8/20/1963,S,M,"$90,000 "
11279,MS.,AMANDA,COOK,9/12/1963,M,F,"$90,000 "
11280,MR.,ROBERT,COLLINS,8/21/1963,M,M,"$90,000 "
11281,MRS.,MEGAN,BARNES,10/10/1963,S,F,"$110,000 "
11282,MR.,CHRISTIAN,THOMAS,1/16/1962,M,M,"$90,000 "
11283,MR.,ARTURO,LAL,10/26/1962,M,M,"$110,000 "
11284,MRS.,THERESA,SERRANO,3/27/1962,M,F,"$110,000 "
11285,MR.,JEREMY,ANDERSON,3/19/1962,M,M,"$120,000 "
11286,MR.,HUNTER,GRIFFIN,3/3/1962,M,M,"$170,000 "
11287,MR.,HENRY,GARCIA,1/16/1961,M,M,"$70,000 "
11288,MRS.,CINDY,SANCHEZ,9/16/1961,M,F,"$110,000 "
11289,MRS.,MARIA,CARTER,3/7/1961,M,F,"$130,000 "
11290,MRS.,KATELYN,SANCHEZ,8/18/1961,M,F,"$130,000 "
11291,MRS.,JENNA,WRIGHT,5/5/1961,M,F,"$130,000 "
11292,MR.,SETH,PHILLIPS,11/5/1961,S,M,"$150,000 "
11293,MR.,LUKE,LONG,5/27/1955,S,M,"$60,000 "
11294,MR.,DALTON,CLARK,9/3/1955,M,M,"$60,000 "
11295,MRS.,TAYLOR,LEWIS,5/16/1954,S,F,"$80,000 "
11296,MRS.,HALEY,RICHARDSON,10/7/1935,S,F,"$50,000 "
11297,MR.,NOAH,COLEMAN,2/2/1935,S,M,"$70,000 "
11298,MR.,JON,LUO,3/3/1935,M,M,"$70,000 "
11299,MR.,ORLANDO,VAZQUEZ,4/1/1936,M,M,"$70,000 "
11300,MR.,FERNANDO,BARNES,3/3/1960,M,M,"$80,000 "
11301,MR.,CAMERON,RODRIGUEZ,6/9/1960,M,M,"$80,000 "
11302,MR.,SPENCER,RUSSELL,12/12/1960,S,M,"$90,000 "
11303,MRS.,JULIA,COLEMAN,10/11/1960,S,F,"$90,000 "
11304,MS.,JULIA,GARCIA,3/17/1960,M,F,"$100,000 "
11305,MR.,SEAN,EVANS,6/19/1960,M,M,"$110,000 "
11306,MR.,MICAH,ZHOU,6/22/1960,M,M,"$110,000 "
11307,MR.,HUNTER,RODRIGUEZ,11/4/1954,M,M,"$80,000 "
11308,MR.,IAN,GONZALES,3/5/1954,M,M,"$60,000 "
11309,MRS.,VICTORIA,LEWIS,6/12/1954,S,F,"$60,000 "
11310,MRS.,ERIN,SANDERS,7/9/1953,S,F,"$70,000 "
11311,MRS.,GABRIELLE,LOPEZ,8/24/1953,S,F,"$70,000 "
11312,MRS.,SARA,RICHARDSON,4/3/1953,S,F,"$70,000 "
11313,MR.,TREVOR,JENKINS,2/27/1953,S,M,"$70,000 "
11315,MRS.,HAILEY,WARD,10/1/1953,S,F,"$70,000 "
11316,MR.,LUKE,ALLEN,11/17/1953,M,M,"$60,000 "
11317,MRS.,VICTORIA,RUSSELL,9/17/1952,S,F,"$40,000 "
11318,MRS.,JESSICA,WILSON,10/26/1952,S,F,"$40,000 "
11319,MRS.,JADE,BAILEY,4/27/1937,M,F,"$70,000 "
11320,MRS.,MORGAN,HILL,6/26/1937,M,F,"$80,000 "
11321,MR.,TERRANCE,RAMAN,7/8/1938,M,M,"$90,000 "
11322,MRS.,SYDNEY,GARCIA,3/15/1938,M,F,"$90,000 "
11323,MR.,JOSE,PATTERSON,6/20/1938,S,M,"$120,000 "
11324,MR.,ZACHARY,ANDERSON,5/14/1939,M,M,"$90,000 "
11325,MR.,ELIJAH,ROSS,7/2/1939,S,M,"$90,000 "
11326,MR.,RAFAEL,XIE,6/26/1939,M,M,"$130,000 "
11327,MR.,JAIME,MORENO,3/4/1940,M,M,"$90,000 "
11328,MR.,JULIAN,GRIFFIN,1/1/1940,M,M,"$90,000 "
11329,MR.,ANDY,ALVAREZ,7/25/1940,S,M,"$90,000 "
11330,MR.,RYAN,THOMPSON,5/13/1940,M,M,"$110,000 "
11331,MRS.,SAMANTHA,JENKINS,7/6/1968,M,F,"$90,000 "
11332,MRS.,DEANNA,RAMOS,10/4/1962,S,F,"$10,000 "
11333,MRS.,EMILY,MILLER,7/10/1962,M,F,"$20,000 "
11334,MRS.,NICOLE,BROWN,3/22/1961,M,F,"$10,000 "
11335,MRS.,CARLA,RAMAN,6/24/1961,M,F,"$10,000 "
11336,MR.,SHAUN,RAJI,3/12/1962,M,M,"$20,000 "
11337,MR.,JEROME,ROMERO,9/21/1961,M,M,"$10,000 "
11338,MR.,FRANK,NAVARRO,8/10/1961,M,M,"$20,000 "
11339,MR.,DENNIS,SHE,7/8/1961,S,M,"$20,000 "
11340,MRS.,MELODY,MUNOZ,4/6/1936,M,F,"$10,000 "
11341,MR.,RANDY,ZENG,8/21/1936,M,M,"$20,000 "
11342,MR.,MARSHALL,WANG,3/11/1962,M,M,"$30,000 "
11343,MR.,ARTHUR,CARLSON,9/13/1958,M,M,"$10,000 "
11344,MRS.,JESSIE,JIMENEZ,7/24/1957,M,F,"$10,000 "
11345,MRS.,ROBIN,RAMOS,3/12/1957,S,F,"$10,000 "
11346,MRS.,DEANNA,GUTIERREZ,5/22/1955,S,F,"$10,000 "
11347,MR.,ROY,NAVARRO,12/23/1955,M,M,"$10,000 "
11348,MR.,SHAWN,RAI,9/22/1955,M,M,"$10,000 "
11349,MRS.,MINDY,LUO,9/3/1954,M,F,"$10,000 "
11350,MRS.,CARA,ZHOU,1/14/1937,M,F,"$30,000 "
11351,MRS.,ANNE,RAMOS,4/6/1939,S,F,"$20,000 "
11352,MR.,RAYMOND,RODRIGUEZ,3/7/1940,M,M,"$10,000 "
11353,MRS.,CARRIE,ORTEGA,6/11/1941,S,F,"$30,000 "
11354,MRS.,DEANNA,SUAREZ,2/23/1942,M,F,"$20,000 "
11355,MR.,ROBERTO,GUTIERREZ,12/28/1942,M,M,"$40,000 "
11356,MR.,TERRENCE,CARSON,5/27/1980,S,M,"$10,000 "
11357,MR.,RAMON,YE,3/23/1979,S,M,"$10,000 "
11358,MS.,CYNTHIA,MALHOTRA,11/11/1978,S,F,"$10,000 "
11359,MR.,JARROD,PRASAD,9/4/1978,S,M,"$10,000 "
11360,MR.,TYRONE,SERRANO,8/2/1978,S,M,"$10,000 "
11361,MS.,CINDY,RAMOS,4/28/1977,M,F,"$10,000 "
11362,MR.,DAMIEN,SHAN,11/11/1977,M,M,"$10,000 "
11363,MR.,JULIAN,ROSS,10/20/1977,S,M,"$10,000 "
11365,MRS.,BRITTNEY,SUN,6/9/1979,S,F,"$10,000 "
11366,MS.,VIRGINIA,PATEL,10/25/1979,M,F,"$20,000 "
11367,MR.,CALVIN,NARA,2/22/1979,M,M,"$20,000 "
11368,MR.,EDWARD,MILLER,11/25/1978,S,M,"$10,000 "
11369,MS.,ASHLEE,TANG,8/4/1978,M,F,"$20,000 "
11370,MS.,ALICIA,XU,4/1/1978,M,F,"$20,000 "
11371,MS.,LACEY,JAI,5/27/1978,M,F,"$20,000 "
11372,MS.,WENDY,ROMERO,5/15/1978,S,F,"$20,000 "
11373,MRS.,CARLY,LUO,9/20/1943,M,F,"$30,000 "
